,brief,full
PID_A6B1_A6B4_INTEGRIN_PATHWAY,a6b1 and a6b4 Integrin signaling, 
PID_AJDISS_2PATHWAY,Posttranslational regulation of adherens junction stability and dissassembly, 
PID_ALK1_PATHWAY,ALK1 signaling events, 
PID_ALK2_PATHWAY,ALK2 signaling events, 
PID_ALPHA_SYNUCLEIN_PATHWAY,Alpha-synuclein signaling, 
PID_AMB2_NEUTROPHILS_PATHWAY,amb2 Integrin signaling, 
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,Angiopoietin receptor Tie2-mediated signaling, 
PID_ANTHRAX_PATHWAY,Cellular roles of Anthrax toxin, 
PID_AP1_PATHWAY,AP-1 transcription factor network, 
PID_AR_NONGENOMIC_PATHWAY,Nongenotropic Androgen signaling, 
PID_AR_PATHWAY,Coregulation of Androgen receptor activity, 
PID_AR_TF_PATHWAY,Regulation of Androgen receptor activity, 
PID_ARF6_DOWNSTREAM_PATHWAY,Arf6 downstream pathway, 
PID_ARF6_PATHWAY,Arf6 signaling events, 
PID_ARF6_TRAFFICKING_PATHWAY,Arf6 trafficking events, 
PID_ARF_3PATHWAY,Arf1 pathway, 
PID_ATF2_PATHWAY,ATF-2 transcription factor network, 
PID_ATM_PATHWAY,ATM pathway, 
PID_ATR_PATHWAY,ATR signaling pathway, 
PID_AURORA_A_PATHWAY,Aurora A signaling, 
PID_AURORA_B_PATHWAY,Aurora B signaling, 
PID_AVB3_INTEGRIN_PATHWAY,Integrins in angiogenesis, 
PID_AVB3_OPN_PATHWAY,Osteopontin-mediated events, 
PID_BARD1_PATHWAY,BARD1 signaling events, 
PID_BCR_5PATHWAY,BCR signaling pathway, 
PID_BETA_CATENIN_DEG_PATHWAY,Degradation of beta catenin, 
PID_BETA_CATENIN_NUC_PATHWAY,Regulation of nuclear beta catenin signaling and target gene transcription, 
PID_BMP_PATHWAY,BMP receptor signaling, 
PID_CASPASE_PATHWAY,Caspase cascade in apoptosis, 
PID_CD40_PATHWAY,CD40/CD40L signaling, 
PID_CD8_TCR_DOWNSTREAM_PATHWAY,Downstream signaling in naïve CD8+ T cells, 
PID_CD8_TCR_PATHWAY,TCR signaling in naïve CD8+ T cells, 
PID_CDC42_PATHWAY,CDC42 signaling events, 
PID_CDC42_REG_PATHWAY,Regulation of CDC42 activity, 
PID_CERAMIDE_PATHWAY,Ceramide signaling pathway, 
PID_CIRCADIAN_PATHWAY,Circadian rhythm pathway, 
PID_CMYB_PATHWAY,C-MYB transcription factor network, 
PID_CONE_PATHWAY,Visual signal transduction: Cones, 
PID_CXCR3_PATHWAY,CXCR3-mediated signaling events, 
PID_CXCR4_PATHWAY,CXCR4-mediated signaling events, 
PID_DELTA_NP63_PATHWAY,Validated transcriptional targets of deltaNp63 isoforms, 
PID_DNA_PK_PATHWAY,DNA-PK pathway in nonhomologous end joining, 
PID_E2F_PATHWAY,E2F transcription factor network, 
PID_ECADHERIN_KERATINOCYTE_PATHWAY,E-cadherin signaling in keratinocytes, 
PID_ECADHERIN_NASCENT_AJ_PATHWAY,E-cadherin signaling in the nascent adherens junction, 
PID_ECADHERIN_STABILIZATION_PATHWAY,Stabilization and expansion of the E-cadherin adherens junction, 
PID_ENDOTHELIN_PATHWAY,Endothelins, 
PID_EPHA2_FWD_PATHWAY,EPHA2 forward signaling, 
PID_EPHA_FWDPATHWAY,EPHA forward signaling, 
PID_EPHB_FWD_PATHWAY,EPHB forward signaling, 
PID_EPHRINB_REV_PATHWAY,Ephrin B reverse signaling, 
PID_EPO_PATHWAY,EPO signaling pathway, 
PID_ER_NONGENOMIC_PATHWAY,Plasma membrane estrogen receptor signaling, 
PID_ERA_GENOMIC_PATHWAY,Validated nuclear estrogen receptor alpha network, 
PID_ERB_GENOMIC_PATHWAY,Validated nuclear estrogen receptor beta network, 
PID_ERBB1_DOWNSTREAM_PATHWAY,ErbB1 downstream signaling, 
PID_ERBB1_INTERNALIZATION_PATHWAY,Internalization of ErbB1, 
