,brief,full
REACTOME_2_LTR_CIRCLE_FORMATION,2-LTR circle formation, 
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,A tetrasaccharide linker sequence is required for GAG synthesis, 
REACTOME_ABACAVIR_ADME,Abacavir ADME, 
REACTOME_ABACAVIR_METABOLISM,Abacavir metabolism, 
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,Abacavir transmembrane transport, 
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,ABC-family proteins mediated transport, 
REACTOME_ABC_TRANSPORTER_DISORDERS,ABC transporter disorders, 
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,ABC transporters in lipid homeostasis, 
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,Aberrant regulation of mitotic exit in cancer due to RB1 defects, 
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects, 
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,Abortive elongation of HIV-1 transcript in the absence of Tat, 
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,Acetylcholine binding and downstream events, 
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,Acetylcholine inhibits contraction of outer hair cells, 
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,Acetylcholine Neurotransmitter Release Cycle, 
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,Acetylcholine regulates insulin secretion, 
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,Acrosome Reaction and Sperm:Oocyte Membrane Binding, 
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,Activated NOTCH1 Transmits Signal to the Nucleus, 
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,Activated NTRK2 signals through CDK5, 
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,Activated NTRK2 signals through FRS2 and FRS3, 
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,Activated NTRK2 signals through FYN, 
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,Activated NTRK2 signals through PI3K, 
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,Activated NTRK2 signals through RAS, 
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,Activated NTRK3 signals through PI3K, 
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,Activated NTRK3 signals through RAS, 
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3, 
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,activated TAK1 mediates p38 MAPK activation, 
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,Activation of AMPK downstream of NMDARs, 
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,Activation of anterior HOX genes in hindbrain development during early embryogenesis, 
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,Activation of ATR in response to replication stress, 
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation of BAD and translocation to mitochondria, 
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,Activation of BH3-only proteins, 
REACTOME_ACTIVATION_OF_C3_AND_C5,Activation of C3 and C5, 
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,Activation of caspases through apoptosome-mediated cleavage, 
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,Activation of gene expression by SREBF (SREBP), 
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon, 
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,Activation of kainate receptors upon glutamate binding, 
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,Activation of Matrix Metalloproteinases, 
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,"Activation of NIMA Kinases NEK9, NEK6, NEK7", 
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Activation of NMDA receptors and postsynaptic events, 
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation of NOXA and translocation to mitochondria, 
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,Activation of PPARGC1A (PGC-1alpha) by phosphorylation, 
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation of PUMA and translocation to mitochondria, 
REACTOME_ACTIVATION_OF_RAC1,Activation of RAC1, 
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,Activation of RAC1 downstream of NMDARs, 
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,Activation of RAS in B cells, 
REACTOME_ACTIVATION_OF_SMO,Activation of SMO, 
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,Activation of the AP-1 family of transcription factors, 
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S", 
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,Activation of the phototransduction cascade, 
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,Activation of the pre-replicative complex, 
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,Activation of the TFAP2 (AP-2) family of transcription factors, 
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,Activation of TRKA receptors, 
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,Acyl chain remodeling of CL, 
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,Acyl chain remodeling of DAG and TAG, 
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,Acyl chain remodelling of PC, 
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,Acyl chain remodelling of PE, 
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,Acyl chain remodelling of PG, 
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,Acyl chain remodelling of PI, 
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,Acyl chain remodelling of PS, 
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,Adaptive Immune System, 
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,Adenylate cyclase activating pathway, 
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,Adenylate cyclase inhibitory pathway, 
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,Adherens junctions interactions, 
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,ADORA2B mediated anti-inflammatory cytokines production, 
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,ADP signalling through P2Y purinoceptor 1, 
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,ADP signalling through P2Y purinoceptor 12, 
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,"Adrenaline,noradrenaline inhibits insulin secretion", 
REACTOME_ADRENOCEPTORS,Adrenoceptors, 
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,Advanced glycosylation endproduct receptor signaling, 
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,Aflatoxin activation and detoxification, 
REACTOME_AGGREPHAGY,Aggrephagy, 
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,AKT phosphorylates targets in the cytosol, 
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,AKT phosphorylates targets in the nucleus, 
REACTOME_ALK_MUTANTS_BIND_TKIS,ALK mutants bind TKIs, 
REACTOME_ALPHA_DEFENSINS,Alpha-defensins, 
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism, 
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,Alpha-oxidation of phytanate, 
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,Alpha-protein kinase 1 signaling pathway, 
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,Alternative complement activation, 
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,Amine ligand-binding receptors, 
REACTOME_AMINO_ACID_CONJUGATION,Amino Acid conjugation, 
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,Amino acid transport across the plasma membrane, 
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,Amino acids regulate mTORC1, 
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,AMPK inhibits chREBP transcriptional activation activity, 
REACTOME_AMYLOID_FIBER_FORMATION,Amyloid fiber formation, 
REACTOME_ANCHORING_FIBRIL_FORMATION,Anchoring fibril formation, 
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,Anchoring of the basal body to the plasma membrane, 
REACTOME_ANDROGEN_BIOSYNTHESIS,Androgen biosynthesis, 
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,Anti-inflammatory response favouring Leishmania parasite infection, 
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers, 
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC", 
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,Antigen processing-Cross presentation, 
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Antigen processing: Ubiquitination & Proteasome degradation, 
REACTOME_ANTIMICROBIAL_PEPTIDES,Antimicrobial peptides, 
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,Antiviral mechanism by IFN-stimulated genes, 
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,APC/C:Cdc20 mediated degradation of Cyclin B, 
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1, 
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,APC/C-mediated degradation of cell cycle proteins, 
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,APC-Cdc20 mediated degradation of Nek2A, 
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway, 
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,APOBEC3G mediated resistance to HIV-1 infection, 
REACTOME_APOPTOSIS,Apoptosis, 
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,Apoptosis induced DNA fragmentation, 
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,Apoptotic cleavage of cell adhesion  proteins, 
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,Apoptotic cleavage of cellular proteins, 
REACTOME_APOPTOTIC_EXECUTION_PHASE,Apoptotic execution phase, 
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,Apoptotic factor-mediated response, 
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,Aquaporin-mediated transport, 
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,Arachidonate production from DAG, 
REACTOME_ARACHIDONIC_ACID_METABOLISM,Arachidonic acid metabolism, 
REACTOME_ARMS_MEDIATED_ACTIVATION,ARMS-mediated activation, 
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,Aryl hydrocarbon receptor signalling, 
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Asparagine N-linked glycosylation, 
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,Aspartate and asparagine metabolism, 
REACTOME_ASPIRIN_ADME,Aspirin ADME, 
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,Assembly and cell surface presentation of NMDA receptors, 
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,Assembly of active LPL and LIPC lipase complexes, 
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,Assembly of collagen fibrils and other multimeric structures, 
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,Assembly Of The HIV Virion, 
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,Assembly of the ORC complex at the origin of replication, 
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,Association of TriC/CCT with target proteins during biosynthesis, 
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,Asymmetric localization of PCP proteins, 
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,ATF4 activates genes in response to endoplasmic reticulum  stress, 
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,ATF6 (ATF6-alpha) activates chaperone genes, 
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,ATF6 (ATF6-alpha) activates chaperones, 
REACTOME_ATORVASTATIN_ADME,Atorvastatin ADME, 
REACTOME_ATTACHMENT_AND_ENTRY,Attachment and Entry, 
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,Attachment of GPI anchor to uPAR, 
REACTOME_ATTENUATION_PHASE,Attenuation phase, 
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,AUF1 (hnRNP D0) binds and destabilizes mRNA, 
REACTOME_AURKA_ACTIVATION_BY_TPX2,AURKA Activation by TPX2, 
REACTOME_AUTOPHAGY,Autophagy, 
REACTOME_AZATHIOPRINE_ADME,Azathioprine ADME, 
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,B-WICH complex positively regulates rRNA expression, 
REACTOME_BASE_EXCISION_REPAIR,Base Excision Repair, 
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,"Base-Excision Repair, AP Site Formation", 
REACTOME_BASIGIN_INTERACTIONS,Basigin interactions, 
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,BBSome-mediated cargo-targeting to cilium, 
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,Beta-catenin independent WNT signaling, 
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,Beta-catenin phosphorylation cascade, 
REACTOME_BETA_DEFENSINS,Beta defensins, 
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA,Beta oxidation of butanoyl-CoA to acetyl-CoA, 
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA, 
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,Beta oxidation of hexanoyl-CoA to butanoyl-CoA, 
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA, 
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,Beta oxidation of octanoyl-CoA to hexanoyl-CoA, 
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,Beta-oxidation of pristanoyl-CoA, 
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,Beta-oxidation of very long chain fatty acids, 
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members, 
REACTOME_BICARBONATE_TRANSPORTERS,Bicarbonate transporters, 
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,Bile acid and bile salt metabolism, 
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Binding and Uptake of Ligands by Scavenger Receptors, 
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS,Binding of TCF/LEF:CTNNB1 to target gene promoters, 
REACTOME_BIOLOGICAL_OXIDATIONS,Biological oxidations, 
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,Biosynthesis of EPA-derived SPMs, 
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,Biosynthesis of maresin-like SPMs, 
REACTOME_BIOSYNTHESIS_OF_MARESINS,Biosynthesis of maresins, 
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,Biosynthesis of specialized proresolving mediators (SPMs), 
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein", 
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,Biotin transport and metabolism, 
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,Blood group systems biosynthesis, 
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,"BMAL1:CLOCK,NPAS2 activates circadian gene expression", 
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Branched-chain amino acid catabolism, 
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,Budding and maturation of HIV virion, 
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA, 
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,Butyrophilin (BTN) family interactions, 
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,C-type lectin receptors (CLRs), 
REACTOME_CA2_ACTIVATED_K_CHANNELS,Ca2+ activated K+ channels, 
REACTOME_CA2_PATHWAY,Ca2+ pathway, 
REACTOME_CA_DEPENDENT_EVENTS,Ca-dependent events, 
REACTOME_CALCINEURIN_ACTIVATES_NFAT,Calcineurin activates NFAT, 
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,Calcitonin-like ligand receptors, 
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,Calnexin/calreticulin cycle, 
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,CaMK IV-mediated phosphorylation of CREB, 
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,Carboxyterminal post-translational modifications of tubulin, 
REACTOME_CARDIAC_CONDUCTION,Cardiac conduction, 
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,Cargo concentration in the ER, 
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,Cargo recognition for clathrin-mediated endocytosis, 
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,Cargo trafficking to the periciliary membrane, 
REACTOME_CARNITINE_METABOLISM,Carnitine metabolism, 
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,Caspase activation via Death Receptors in the presence of ligand, 
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,Caspase activation via Dependence Receptors in the absence of ligand, 
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,Caspase activation via extrinsic apoptotic signalling pathway, 
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,Caspase-mediated cleavage of cytoskeletal proteins, 
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS,Cation-coupled Chloride cotransporters, 
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,CD163 mediating an anti-inflammatory response, 
REACTOME_CD209_DC_SIGN_SIGNALING,CD209 (DC-SIGN) signaling, 
REACTOME_CD22_MEDIATED_BCR_REGULATION,CD22 mediated BCR regulation, 
REACTOME_CD28_CO_STIMULATION,CD28 co-stimulation, 
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,CD28 dependent PI3K/Akt signaling, 
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,CD28 dependent Vav1 pathway, 
REACTOME_CDC42_GTPASE_CYCLE,CDC42 GTPase cycle, 
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,CDC6 association with the ORC:origin complex, 
REACTOME_CELL_CELL_COMMUNICATION,Cell-Cell communication, 
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,Cell-cell junction organization, 
REACTOME_CELL_CYCLE,Cell Cycle, 
REACTOME_CELL_CYCLE_CHECKPOINTS,Cell Cycle Checkpoints, 
