,gene,cluster
0,TRAJ8,0
1,MIR4502,1
2,TRAJ6,0
3,OR7E53P,2
4,PLSCR2,3
5,MIR6807,4
6,TRAV19,5
7,PRR20B,6
8,TRBV18,5
9,MIR4773-2,7
10,OR8B1P,8
11,IGLV3-22,9
12,MIR514B,10
13,TRAJ35,0
14,DUX4L2,11
15,IGKV1D-33,12
16,CT47A2,13
17,MIR7706,4
18,MIR6796,4
19,MIR548AE1,14
20,TRAJ1,0
21,FAM90A8,15
22,TRAJ26,0
23,IGKV1-9,16
24,MIR12129,4
25,IGHV3-21,16
26,IGHV3-16,17
27,OR9G2P,18
28,H3C11,19
29,OR8B10P,8
30,TRAJ14,0
31,CT47A11,13
32,USP17L20,20
33,USP17L22,20
34,IGLV5-37,9
35,SPEM2,21
36,PCDHGA4,22
37,IGKV1-39,16
38,IGHV4-34,16
39,MT-ND1,23
40,OR5AP2,24
41,TRAJ29,0
42,MIR4481,14
43,OR5A1,24
44,MIR4745,25
45,H2BP2,26
46,MIR3689A,27
47,CT47A6,13
48,TRAJ45,0
49,TRAJ48,0
50,PRR20D,6
51,TRAV9-2,5
52,MIR6835,4
53,OR10U1P,28
54,PLA2G2E,29
55,OR4K4P,30
56,CT47A9,13
57,TRAV12-2,5
58,MIR4653,31
59,OR56A5,32
60,TRAV2,5
61,USP17L17,20
62,OR8B9P,8
63,IGLV2-23,16
64,IGHV3-38,17
65,MIR4999,4
66,OR5M5P,18
67,OR8X1P,8
68,TRAJ3,0
69,GNG14,4
70,MT-ATP6,23
71,IGHV2-26,17
72,ATP11B,3
73,IGHV3-43,17
74,MIR7850,1
75,TRNAV-CAC,33
76,OR11H5P,30
77,OR5AC4P,34
78,IGKV2-30,16
79,H3C9P,35
80,OR7E158P,36
81,MIR6771,1
82,OR5D17P,18
83,TRAJ13,0
84,MIR3122,37
85,TRAJ37,0
86,PRR20C,6
87,PRAMEF13,38
88,MIR6511A1,39
89,USP17L28,20
90,MIR4732,31
91,OR4A18P,34
92,H3C10,19
93,OR4A17P,18
94,DUX4L3,11
95,CT47A1,13
96,OR4A19P,36
97,H4C3,40
98,MIR5000,14
99,TRBV29-1,5
100,USP17L12,20
101,MIR4743,31
102,MIR6165,1
103,TRAJ34,0
104,MIR5704,41
105,PCDHGA6,22
106,MIR6509,4
107,TRAJ39,0
108,MIR6881,1
109,H2BC10,42
110,OR5BL1P,43
111,DUX4L5,11
112,MIR3181,4
113,IGKV1D-12,12
114,OR5J1P,18
115,IGHV1OR15-9,17
116,ATP8B1,3
117,MIR4292,25
118,IGHV3-72,17
119,PCDHGB3,22
120,MIR6506,44
121,OR2AM1P,34
122,H3C6,45
123,PLA2G4B,29
124,TRAV10,46
125,PLA2G2D,29
126,TRAV23DV6,46
127,TRBV6-4,47
128,OR8A2P,8
129,OR6C66P,34
130,MIR6511A2,39
131,MIR320E,37
132,MIR4433B,48
133,MIR4467,31
134,FAM90A9,15
135,PRAMEF19,38
136,TRAJ4,0
137,GOLGA8O,49
138,TRAJ53,0
139,IGLV11-55,9
140,TRAV7,50
141,OR52Q1P,34
142,TRBV5-6,5
143,MIR6071,14
144,IGHV3-74,16
145,TRNAI-AAU,33
146,PLA2G10,29
147,OR4A10P,18
148,TRAV3,5
149,MIR6834,51
150,IGLV1-47,16
151,DUX4L6,11
152,MIR6829,41
153,IGKV2-29,12
154,IGLV2-11,16
155,MIR378I,48
156,OR5AO1P,35
157,IGLV5-45,9
158,MIR514A3,10
159,MIR7977,48
160,PLA2G12B,29
161,H2BC11,42
162,H4C13,40
163,OR5BP1P,43
164,MIR6833,51
165,OR2AS2P,2
166,TRAJ19,0
167,IGHV3-13,12
168,MT-CO3,23
169,IGKV1-37,52
170,PCDHGA11,22
171,TRAJ30,0
172,IGLV2-14,16
173,PLA2G1B,3
174,IGHV5-51,16
175,FAM90A18,15
176,OR5D15P,18
177,TRBJ2-2,53
178,IGLV7-43,12
179,OR52E7P,34
180,MIR6825,41
181,TRBV6-2,5
182,MIR5189,4
183,MIR3135B,51
184,TRAV21,5
185,H3C13,19
186,OR4K16P,30
187,MIR6504,44
188,H4C6,40
189,TRBV4-2,46
190,TRAV41,46
191,ATP8B4,3
192,MT-CO2,23
193,TRAJ33,0
194,MT-CO1,23
195,IGLV2-33,9
196,MIR6892,1
197,IGLC6,12
198,MIR6737,4
199,IGHV4-4,17
200,IGHV3-48,12
201,BAGE2,54
202,OR2AD1P,36
203,CT47A4,13
204,OR6C71P,2
205,TRAJ58,0
206,IGKV6D-21,52
207,USP17L19,20
208,IGHV3OR16-12,17
209,OR5D2P,43
210,OR8C1P,8
211,TRBJ1-3,55
212,TRBJ1-4,55
213,MIR3162,31
214,MIR4712,25
215,MIR7974,4
216,IGLV3-12,9
217,MIR6873,51
218,IGHV7-4-1,50
219,TRAV38-1,47
220,TRAV14DV4,5
221,MIR4771-1,14
222,PCDHGA9,22
223,TRBV5-1,5
224,ATP10B,3
225,CT47A3,13
226,OR7E21P,36
227,RBMY1E,56
228,OR9R1P,28
229,TRBV5-7,53
230,IGLV9-49,57
231,MIR3689E,27
232,ATP10D,3
233,MIR3158-1,26
234,OR4A11P,18
235,PCDHGA3,22
236,TRBV6-8,53
237,IGKV1-12,16
238,OR4N1P,30
239,TRAV8-4,5
240,PKD1P3-NPIPA1,4
241,PCDHA12,15
242,TRBV7-9,5
243,TRAV1-1,47
244,IGKV2-40,52
245,TEX33,21
246,ATP8A2,3
247,USP17L13,20
248,TRBV9,5
249,IGHV3-35,17
250,TRBV7-1,53
251,P3R3URF,21
252,PRR20E,6
253,IGHV3-64,17
254,PCDHA13,15
255,MIR4773-1,7
256,H3C7,45
257,TFAP2A-AS2,4
258,TRAJ31,0
259,OR9I3P,43
260,TRAV35,47
261,IGHV5-10-1,50
262,MIR3689C,27
263,MIR6736,4
264,MIR1289-1,4
265,MIR6752,4
266,TRBV7-8,5
267,MIR548AK,14
268,USP17L10,20
269,CT47A5,13
270,CT47A7,13
271,GOLGA8R,49
272,TRBV6-5,5
273,H2BC4,42
274,H3C1,19
275,OR5B10P,43
276,OR5W2,24
277,PCDHGB4,22
278,RBMY1J,56
279,PRR20A,6
280,USP17L15,20
281,OR5M2P,18
282,IGKV3D-20,12
283,PCDHA8,15
284,RBMY1B,56
285,TRBJ1-5,55
286,MIR892B,10
287,MIR5787,41
288,MIR10400,4
289,PLA2G2F,29
290,BAGE5,54
291,MIR7110,41
292,IGHV2OR16-5,17
293,ELOA3BP,2
294,SPDYE14,2
295,MT-ND4,23
296,OR6C64P,28
297,PLSCR3,3
298,BAGE3,54
299,MIR6791,4
300,IGHV3OR16-10,17
301,H2AC10P,35
302,MIR3192,31
303,IGKV1-16,12
304,MIR3913-1,7
305,ATP11C,3
306,IGLV3-21,16
307,OR5T1,32
308,MIR6729,14
309,LOC408186,26
310,IGLV1-44,16
311,OR5AM1P,18
312,IGHV3-53,12
313,OR5B19P,34
314,IGHV1-58,17
315,IGHV3-30-5,50
316,OR6M2P,35
317,MIR6855,14
318,IGKV2D-29,57
319,TRBV6-1,5
320,IGHV4-30-4,50
321,IGHV2-70,12
322,MIR5588,48
323,CT47A8,13
324,SPDYE15,35
325,OR9I2P,43
326,OR7E46P,36
327,IGHV3-15,16
328,TRBV7-2,5
329,IGLV3-27,12
330,TRAJ40,0
331,TRAJ25,0
332,TRAJ11,0
333,IGHV1-45,17
334,OR8V1P,43
335,IGHV4-39,16
336,TRAJ2,0
337,OR7E106P,36
338,TEX54,24
339,OR5M12P,18
340,PCDHGA5,22
341,IGHV3OR16-9,17
342,TRBJ2-5,53
343,TPRX1P1,2
