,Gene,Ortholog,gene_id,ortholog_id
0,A1BG,NAT1,1,9
1,A2M,NAT2,2,10
2,A2MP1,AANAT,3,15
3,NAT1,ABCB7,9,22
4,NATP,ABL1,11,25
5,SERPINA3,AOC1,12,26
6,AADAC,ABL2,13,27
7,AAMP,ABO,14,28
8,AANAT,ACAA1,15,30
9,AAVS1,ACACB,17,32
10,ABAT,ACADL,18,33
11,ABCA1,ACADM,19,34
12,ABCA2,ACADS,20,35
13,ABCA3,ACADSB,21,36
14,ABCB7,ACADVL,22,37
15,ABCF1,ACAT1,23,38
16,ABCA4,ACAT2,24,39
17,ABL1,ASIC2,25,40
18,AOC1,ACHE,26,43
19,ABL2,ACLY,27,47
20,ABO,ACO1,28,48
21,ABR,ACO2,29,50
22,ACAA1,ACOX1,30,51
23,ACACA,ACP1,31,52
24,ACADL,ACP5,33,54
25,ACADM,ACP3,34,55
26,ACADS,ACTA1,35,58
27,ACADSB,ACTA2,36,59
28,ACADVL,ACTB,37,60
29,ACAT1,ACTC1,38,70
30,ACAT2,ACTG1,39,71
31,ASIC2,ACTG2,40,72
32,ASIC1,ACTN4,41,81
33,ACHE,ACTN1,43,87
34,ACLY,ACVR1B,47,91
35,ACO1,ACVR2A,48,92
36,ACR,ACVR2B,49,93
37,ACO2,ACVRL1,50,94
38,ACOX1,ACY1,51,95
39,ACP1,ACYP1,52,97
40,ACP2,ACYP2,53,98
41,ACP5,ADA,54,100
42,ACP3,ADAM10,55,102
43,ACRV1,ADAR,56,103
44,ACTA1,ADCY2,58,108
45,ACTA2,ADCY3,59,109
46,ACTB,ADCY5,60,111
47,ACTBP2,ADCY7,62,113
48,ACTBP4,ADCY9,64,115
49,ACTBP6,ADD1,66,118
50,ACTBP8,ADH1B,68,125
51,ACTBP9,ADH1C,69,126
52,ACTC1,ADH4,70,127
53,ACTG1,ADH5,71,128
54,ACTG2,ADH6,72,130
55,ACTG1P1,ADH7,73,131
56,ACTG1P2,ADK,74,132
57,ACTG1P3,ADORA1,75,134
58,ACTG1P6,PAOX,78,196743
59,ACTG1P7,ADORA3,79,140
60,ACTG1P8,PARP1,80,142
61,ACTN4,PARP4,81,143
62,ACTG1P9,ADRA1D,82,146
63,ACTG1P10,ADRA1B,83,147
64,ACTL6A,ADRA2B,86,151
65,ACTN2,ADRB1,88,153
66,ACTN3,ADRB2,89,154
67,ACVR1,ADRB3,90,155
68,ACVR1B,GRK2,91,156
69,ACVR2A,GRK3,92,157
70,ACVR2B,ADSL,93,158
71,ACVRL1,ADSS2,94,159
72,ACY1,AP2A1,95,160
73,ACYP1,AP1B1,97,162
74,ACYP2,AP2B1,98,163
75,ADA,AGA,100,175
76,ADAM8,AGL,101,178
77,ADAM10,AGRP,102,181
78,ADAR,JAG1,103,182
79,ADARB1,AGT,104,183
80,ADARB2,AGTR1,105,185
81,ADCP1,AGTR2,106,186
82,ADCY1,APLNR,107,187
83,ADCY2,AGXT,108,189
84,ADCY3,NR0B1,109,190
85,ADCY5,AK1,111,203
86,ADCY6,AK2,112,204
87,ADCY7,AK4,113,205
88,ADCY8,AKT1,114,207
89,ADCY9,AKT2,115,208
90,ADCYAP1,ALAD,116,210
91,ADCYAP1R1,ALAS1,117,211
92,ADD1,ALAS2,118,212
93,ADD2,ALCAM,119,214
94,ADD3,ABCD1,120,215
95,PLIN2,ALDH3A1,123,218
96,ADH1A,ALDH1B1,124,219
97,ADH1B,ALDH1A3,125,220
98,ADH1C,ALDH3B1,126,221
99,ADH1C,ALDH3B2,126,222
100,ADH4,ALDH3B2,127,222
101,ADH5,ALDH9A1,128,223
102,ADH6,ABCD2,130,225
103,ADH7,ALDOA,131,226
104,ADK,ALDOB,132,229
105,ADM,ALDOC,133,230
106,ADORA1,AKR1B1,134,231
107,ADORA2A,ALOX12,135,239
108,ADORA2B,ALOX5,136,240
109,ADORA2BP1,ALOX5AP,137,241
110,ADORA3,ALOX15B,140,247
111,ADPRH,ALPI,141,248
112,PARP1,ALPL,142,249
113,PARP4,ALPP,143,250
114,PARP1P1,PAQR7,144,164091
115,PARP1P2,ALPG,145,251
116,ADRA1D,AMD1,146,262
117,ADRA1B,AMH,147,268
118,ADRA1A,AMHR2,148,269
119,ADRA2A,AMPD2,150,271
